File,Channel,Status,Reason,Mode,ActiveFraction,Cropped
20240919_Exp01_Au111_PtIr-1_CO_STM_0000TopoFwd.int,TopoFwd,invalid,topography_flat_in_constant_height,constant_height,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0000TopoBwd.int,TopoBwd,invalid,backward_channel,constant_height,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0000BiasFwd.int,BiasFwd,invalid,too_few_unique_values (2),constant_height,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0000BiasBwd.int,BiasBwd,invalid,backward_channel,constant_height,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0000QPlusAmplFwd.int,QPlusAmplFwd,invalid,too_little_acquired_area (1.2% active),constant_height,0.012,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0000It_extFwd.int,It_extFwd,invalid,too_little_acquired_area (1.2% active),constant_height,0.012,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0000It_extBwd.int,It_extBwd,invalid,backward_channel,constant_height,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0000InAFwd.int,InAFwd,invalid,too_little_acquired_area (1.2% active),constant_height,0.012,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0000InABwd.int,InABwd,invalid,backward_channel,constant_height,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0000It_to_PCFwd.int,It_to_PCFwd,invalid,too_little_acquired_area (1.2% active),constant_height,0.012,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0000It_to_PCBwd.int,It_to_PCBwd,invalid,backward_channel,constant_height,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0001TopoBwd.int,TopoBwd,invalid,backward_channel,constant_current,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0001BiasFwd.int,BiasFwd,invalid,not_relevant_in_constant_current,constant_current,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0001BiasBwd.int,BiasBwd,invalid,backward_channel,constant_current,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0001QPlusAmplFwd.int,QPlusAmplFwd,invalid,not_relevant_in_constant_current,constant_current,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0001It_extFwd.int,It_extFwd,invalid,not_relevant_in_constant_current,constant_current,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0001It_extBwd.int,It_extBwd,invalid,backward_channel,constant_current,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0001InAFwd.int,InAFwd,invalid,not_relevant_in_constant_current,constant_current,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0001InABwd.int,InABwd,invalid,backward_channel,constant_current,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0001It_to_PCFwd.int,It_to_PCFwd,invalid,not_relevant_in_constant_current,constant_current,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0001It_to_PCBwd.int,It_to_PCBwd,invalid,backward_channel,constant_current,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0002TopoBwd.int,TopoBwd,invalid,backward_channel,constant_current,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0002BiasFwd.int,BiasFwd,invalid,not_relevant_in_constant_current,constant_current,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0002BiasBwd.int,BiasBwd,invalid,backward_channel,constant_current,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0002QPlusAmplFwd.int,QPlusAmplFwd,invalid,not_relevant_in_constant_current,constant_current,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0002It_extFwd.int,It_extFwd,invalid,not_relevant_in_constant_current,constant_current,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0002It_extBwd.int,It_extBwd,invalid,backward_channel,constant_current,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0002InAFwd.int,InAFwd,invalid,not_relevant_in_constant_current,constant_current,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0002InABwd.int,InABwd,invalid,backward_channel,constant_current,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0002It_to_PCFwd.int,It_to_PCFwd,invalid,not_relevant_in_constant_current,constant_current,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0002It_to_PCBwd.int,It_to_PCBwd,invalid,backward_channel,constant_current,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0003TopoBwd.int,TopoBwd,invalid,backward_channel,constant_current,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0003BiasFwd.int,BiasFwd,invalid,not_relevant_in_constant_current,constant_current,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0003BiasBwd.int,BiasBwd,invalid,backward_channel,constant_current,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0003QPlusAmplFwd.int,QPlusAmplFwd,invalid,not_relevant_in_constant_current,constant_current,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0003It_extFwd.int,It_extFwd,invalid,not_relevant_in_constant_current,constant_current,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0003It_extBwd.int,It_extBwd,invalid,backward_channel,constant_current,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0003InAFwd.int,InAFwd,invalid,not_relevant_in_constant_current,constant_current,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0003InABwd.int,InABwd,invalid,backward_channel,constant_current,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0003It_to_PCFwd.int,It_to_PCFwd,invalid,not_relevant_in_constant_current,constant_current,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0003It_to_PCBwd.int,It_to_PCBwd,invalid,backward_channel,constant_current,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0004TopoBwd.int,TopoBwd,invalid,backward_channel,constant_current,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0004BiasFwd.int,BiasFwd,invalid,not_relevant_in_constant_current,constant_current,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0004BiasBwd.int,BiasBwd,invalid,backward_channel,constant_current,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0004QPlusAmplFwd.int,QPlusAmplFwd,invalid,not_relevant_in_constant_current,constant_current,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0004It_extFwd.int,It_extFwd,invalid,not_relevant_in_constant_current,constant_current,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0004It_extBwd.int,It_extBwd,invalid,backward_channel,constant_current,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0004InAFwd.int,InAFwd,invalid,not_relevant_in_constant_current,constant_current,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0004InABwd.int,InABwd,invalid,backward_channel,constant_current,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0004It_to_PCFwd.int,It_to_PCFwd,invalid,not_relevant_in_constant_current,constant_current,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0004It_to_PCBwd.int,It_to_PCBwd,invalid,backward_channel,constant_current,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0005TopoBwd.int,TopoBwd,invalid,backward_channel,constant_current,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0005BiasFwd.int,BiasFwd,invalid,not_relevant_in_constant_current,constant_current,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0005BiasBwd.int,BiasBwd,invalid,backward_channel,constant_current,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0005QPlusAmplFwd.int,QPlusAmplFwd,invalid,not_relevant_in_constant_current,constant_current,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0005It_extFwd.int,It_extFwd,invalid,not_relevant_in_constant_current,constant_current,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0005It_extBwd.int,It_extBwd,invalid,backward_channel,constant_current,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0005InAFwd.int,InAFwd,invalid,not_relevant_in_constant_current,constant_current,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0005InABwd.int,InABwd,invalid,backward_channel,constant_current,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0005It_to_PCFwd.int,It_to_PCFwd,invalid,not_relevant_in_constant_current,constant_current,NA,NA
20240919_Exp01_Au111_PtIr-1_CO_STM_0005It_to_PCBwd.int,It_to_PCBwd,invalid,backward_channel,constant_current,NA,NA
